,tweet_id,timestamp,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,name,retweet_count,favorite_count,dog_stage,rating
0,892420643555336193,2017-08-01 16:23:56+00:00,nan,nan,,Phineas,8853,39467,,1.3
1,892177421306343426,2017-08-01 00:17:27+00:00,nan,nan,,Tilly,6514,33819,,1.3
2,891815181378084864,2017-07-31 00:18:03+00:00,nan,nan,,Archie,4328,25461,,1.2
3,891689557279858688,2017-07-30 15:58:51+00:00,nan,nan,,Darla,8964,42908,,1.3
4,891327558926688256,2017-07-29 16:00:24+00:00,nan,nan,,Franklin,9774,41048,,1.2
6,890971913173991426,2017-07-28 16:27:12+00:00,nan,nan,,Jax,2158,12041,,1.3
8,890609185150312448,2017-07-27 16:25:51+00:00,nan,nan,,Zoey,4429,28226,,1.3
9,890240255349198849,2017-07-26 15:59:51+00:00,nan,nan,,Cassie,7711,32467,doggo,1.4
10,890006608113172480,2017-07-26 00:31:25+00:00,nan,nan,,Koda,7624,31166,,1.3
11,889880896479866881,2017-07-25 16:11:53+00:00,nan,nan,,Bruno,5156,28268,,1.3
13,889638837579907072,2017-07-25 00:10:02+00:00,nan,nan,,Ted,4735,27672,,1.2
14,889531135344209921,2017-07-24 17:02:04+00:00,nan,nan,,Stuart,2321,15359,puppo,1.3
15,889278841981685760,2017-07-24 00:19:32+00:00,nan,nan,,Oliver,5637,25652,,1.3
16,888917238123831296,2017-07-23 00:22:39+00:00,nan,nan,,Jim,4709,29611,,1.2
17,888804989199671297,2017-07-22 16:56:37+00:00,nan,nan,,Zeke,4559,26080,,1.3
18,888554962724278272,2017-07-22 00:23:06+00:00,nan,nan,,Ralphus,3732,20290,,1.3
19,888202515573088257,2017-07-21 01:02:36+00:00,8.874739571039519e+17,4196983835.0,2017-07-19 00:47:34+00:00,Canela,,,,1.3
20,888078434458587136,2017-07-20 16:49:33+00:00,nan,nan,,Gerald,3653,22201,,1.2
21,887705289381826560,2017-07-19 16:06:48+00:00,nan,nan,,Jeffrey,5609,30779,,1.3
22,887517139158093824,2017-07-19 03:39:09+00:00,nan,nan,,such,12082,46959,,1.4
23,887473957103951883,2017-07-19 00:47:34+00:00,nan,nan,,Canela,18781,69871,,1.3
26,886983233522544640,2017-07-17 16:17:36+00:00,nan,nan,,Maya,8084,35859,,1.3
27,886736880519319552,2017-07-16 23:58:41+00:00,nan,nan,,Mingus,3443,12306,,1.3
28,886680336477933568,2017-07-16 20:14:00+00:00,nan,nan,,Derek,4610,22798,,1.3
29,886366144734445568,2017-07-15 23:25:31+00:00,nan,nan,,Roscoe,3316,21524,pupper,1.2
31,886258384151887873,2017-07-15 16:17:19+00:00,nan,nan,,Waffles,6523,28469,,1.3
33,885984800019947520,2017-07-14 22:10:11+00:00,nan,nan,,Jimbo,7097,33382,,1.2
34,885528943205470208,2017-07-13 15:58:47+00:00,nan,nan,,Maisey,6683,36689,,1.3
36,885311592912609280,2017-07-13 01:35:06+00:00,8.305833205850685e+17,4196983835.0,2017-02-12 01:04:29+00:00,Lilly,19297,0,,1.3
38,884925521741709313,2017-07-12 00:01:00+00:00,nan,nan,,Earl,16439,68152,,1.2
39,884876753390489601,2017-07-11 20:47:12+00:00,nan,nan,,Lola,6096,28514,,1.3
40,884562892145688576,2017-07-11 00:00:02+00:00,nan,nan,,Kevin,5100,24765,,1.3
43,884162670584377345,2017-07-09 21:29:42+00:00,nan,nan,,Yogi,3128,20771,doggo,1.2
44,883838122936631299,2017-07-09 00:00:04+00:00,nan,nan,,Noah,3586,22349,,1.2
45,883482846933004288,2017-07-08 00:28:19+00:00,nan,nan,,Bella,10407,46860,,0.5
46,883360690899218434,2017-07-07 16:22:55+00:00,nan,nan,,Grizzwald,3825,22986,floofer,1.3
48,882992080364220416,2017-07-06 15:58:11+00:00,nan,nan,,Rusty,4122,24445,,1.3
49,882762694511734784,2017-07-06 00:46:41+00:00,nan,nan,,Gus,5134,28903,pupper,1.2
50,882627270321602560,2017-07-05 15:48:34+00:00,nan,nan,,Stanley,6342,28382,,1.3
51,882268110199369728,2017-07-04 16:01:23+00:00,nan,nan,,Alfy,12118,45880,,1.3
52,882045870035918850,2017-07-04 01:18:17+00:00,nan,nan,,Koko,5203,29900,,1.3
53,881906580714921986,2017-07-03 16:04:48+00:00,nan,nan,,Rey,3533,24773,,1.2
54,881666595344535552,2017-07-03 00:11:11+00:00,nan,nan,,Gary,11099,51522,,1.3
56,881536004380872706,2017-07-02 15:32:16+00:00,nan,nan,,a,16570,50199,pupper,1.4
57,881268444196462592,2017-07-01 21:49:04+00:00,nan,nan,,Elliot,5358,23501,,1.2
58,880935762899988482,2017-06-30 23:47:07+00:00,nan,nan,,Louis,2886,17346,,1.3
60,880465832366813184,2017-06-29 16:39:47+00:00,nan,nan,,Bella,6546,29075,,1.2
61,880221127280381952,2017-06-29 00:27:25+00:00,nan,nan,,Jesse,4436,27640,,1.2
63,879862464715927552,2017-06-28 00:42:13+00:00,nan,nan,,Romeo,3642,22667,,1.3
65,879492040517615616,2017-06-27 00:10:17+00:00,nan,nan,,Bailey,3323,23822,,1.2
66,879415818425184262,2017-06-26 19:07:24+00:00,nan,nan,,Duddles,45849,107956,,1.3
67,879376492567855104,2017-06-26 16:31:08+00:00,nan,nan,,Jack,3261,17099,,1.2
68,879130579576475649,2017-06-26 00:13:58+00:00,8.780576130401157e+17,4196983835.0,2017-06-23 01:10:23+00:00,Emmy,7181,0,,1.4
69,879050749262655488,2017-06-25 18:56:45+00:00,nan,nan,,Steven,4941,23022,,1.1
70,879008229531029506,2017-06-25 16:07:47+00:00,nan,nan,,Beau,2812,19317,,1.3
71,878776093423087618,2017-06-25 00:45:22+00:00,nan,nan,,Snoopy,4319,19763,puppo,1.3
73,878404777348136964,2017-06-24 00:09:53+00:00,8.782815110064783e+17,4196983835.0,2017-06-23 16:00:04+00:00,Shadow,1349,0,,1.3
74,878316110768087041,2017-06-23 18:17:33+00:00,6.690003974455337e+17,4196983835.0,2015-11-24 03:51:38+00:00,Terrance,6965,0,,1.1
75,878281511006478336,2017-06-23 16:00:04+00:00,nan,nan,,Shadow,1349,7913,,1.3
76,878057613040115712,2017-06-23 01:10:23+00:00,nan,nan,,Emmy,7181,42876,,1.4
77,877736472329191424,2017-06-22 03:54:17+00:00,nan,nan,,Aja,17300,71144,,1.3
79,877556246731214848,2017-06-21 15:58:08+00:00,nan,nan,,Penny,3994,23258,,1.2
80,877316821321428993,2017-06-21 00:06:44+00:00,nan,nan,,Dante,5414,27907,,1.3
81,877201837425926144,2017-06-20 16:29:50+00:00,nan,nan,,Nelly,5880,27755,,1.2
82,876838120628539392,2017-06-19 16:24:33+00:00,nan,nan,,Ginger,3506,21125,pupper,1.2
84,876484053909872640,2017-06-18 16:57:37+00:00,nan,nan,,Benedict,2511,19163,,1.3
85,876120275196170240,2017-06-17 16:52:05+00:00,nan,nan,,Venti,4903,28490,,1.3
86,875747767867523072,2017-06-16 16:11:53+00:00,nan,nan,,Goose,4497,25773,,1.3
87,875144289856114688,2017-06-15 00:13:52+00:00,nan,nan,,Nugget,5081,22185,,1.3
90,874680097055178752,2017-06-13 17:29:20+00:00,nan,nan,,Cash,4875,28439,,1.2
91,874434818259525634,2017-06-13 01:14:41+00:00,8.663349647612027e+17,4196983835.0,2017-05-21 16:48:45+00:00,Coco,15546,0,,1.2
92,874296783580663808,2017-06-12 16:06:11+00:00,nan,nan,,Jed,4308,26651,pupper,1.3
94,874012996292530176,2017-06-11 21:18:31+00:00,nan,nan,,Sebastian,11007,35501,puppo,1.3
95,873697596434513921,2017-06-11 00:25:14+00:00,8.688803978194944e+17,4196983835.0,2017-05-28 17:23:24+00:00,Walter,12518,0,,1.4
97,873337748698140672,2017-06-10 00:35:19+00:00,8.732137756329779e+17,4196983835.0,2017-06-09 16:22:42+00:00,Sierra,1667,0,pupper,1.2
98,873213775632977920,2017-06-09 16:22:42+00:00,nan,nan,,Sierra,1667,7467,pupper,1.2
102,872620804844003328,2017-06-08 01:06:27+00:00,nan,nan,,Monkey,3911,21309,,1.3
104,872261713294495745,2017-06-07 01:19:32+00:00,nan,nan,,Harry,6649,35085,,1.3
105,872122724285648897,2017-06-06 16:07:15+00:00,nan,nan,,Kody,8549,35324,,1.2
106,871879754684805121,2017-06-06 00:01:46+00:00,nan,nan,,Lassie,11918,39090,,1.3
